Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TotalCorners,TotalYellowCards,TotalGoals,BothTeamsScored,2ndHalfHomeGoals,2ndHalfAwayGoals,2ndHalfTotalGoals,HomeForm,AwayForm
SP1,2019-08-16,Ath Bilbao,Barcelona,1,0,H,0,0,D,11,11,5,2,3,8,14,9,1,1,0,0,11,2,1,0,1,0,1,0,0
SP1,2019-08-17,Celta,Real Madrid,1,3,A,0,1,A,7,17,4,11,6,4,17,12,5,2,0,1,10,7,4,1,1,2,3,0,0
SP1,2019-08-17,Valencia,Sociedad,1,1,D,0,0,D,14,12,6,3,3,3,13,14,4,4,1,0,6,8,2,1,1,1,2,0,0
SP1,2019-08-17,Mallorca,Eibar,2,1,H,1,0,H,16,11,4,5,9,3,13,14,2,3,0,0,12,5,3,1,1,1,2,0,0
SP1,2019-08-17,Leganes,Osasuna,0,1,A,0,0,D,13,4,2,2,8,0,17,11,1,4,1,0,8,5,1,0,0,1,1,0,0
SP1,2019-08-17,Villarreal,Granada,4,4,D,1,1,D,12,14,7,7,2,7,10,16,3,1,0,0,9,4,8,1,3,3,6,0,0
SP1,2019-08-18,Alaves,Levante,1,0,H,0,0,D,9,16,2,4,2,9,18,15,2,1,0,0,11,3,1,0,1,0,1,0,0
SP1,2019-08-18,Espanol,Sevilla,0,2,A,0,1,A,7,12,2,4,8,4,11,17,2,2,0,0,12,4,2,0,0,1,1,0,0
SP1,2019-08-18,Betis,Valladolid,1,2,A,0,0,D,13,14,4,3,6,1,11,19,2,6,1,0,7,8,3,1,1,2,3,0,0
SP1,2019-08-18,Ath Madrid,Getafe,1,0,H,1,0,H,5,6,5,0,3,4,19,22,3,4,1,1,7,7,1,0,0,0,0,0,0
SP1,2019-08-23,Granada,Sevilla,0,1,A,0,0,D,12,11,0,6,6,6,13,14,1,1,0,0,12,2,1,0,0,1,1,1,3
SP1,2019-08-23,Levante,Villarreal,2,1,H,0,1,A,16,23,4,6,7,3,5,9,1,2,0,0,10,3,3,1,2,0,2,0,1
SP1,2019-08-24,Osasuna,Eibar,0,0,D,0,0,D,6,12,2,0,6,6,15,12,4,4,0,0,12,8,0,0,0,0,0,3,0
SP1,2019-08-24,Real Madrid,Valladolid,1,1,D,0,0,D,22,9,4,2,4,3,12,11,2,2,0,0,7,4,2,1,1,1,2,3,3
SP1,2019-08-24,Celta,Valencia,1,0,H,1,0,H,11,9,6,1,6,4,8,12,1,2,0,0,10,3,1,0,0,0,0,0,1
SP1,2019-08-24,Getafe,Ath Bilbao,1,1,D,1,1,D,6,4,2,2,4,6,15,11,2,1,0,0,10,3,2,1,0,0,0,0,3
